sentence_text|sentence_number|paragraph_number|title|publication_date|genre
About midway in the short vista which my dreamy vision took in, one small circular island, profusely verdured, reposed upon the bosom of the stream.|0|8|The Island Of The Fay|June 1841|Fantasy
so mirror-like was the glassy water, that it was scarcely possible to say at what point upon the slope of the emerald turf its crystal dominion began.|0|10|The Island Of The Fay|June 1841|Fantasy
My position enabled me to include in a single view both the eastern and western extremities of the islet; and I observed a singularly-marked difference in their aspects.|0|11|The Island Of The Fay|June 1841|Fantasy
The latter was all one radiant harem of garden beauties.|1|11|The Island Of The Fay|June 1841|Fantasy
It glowed and blushed beneath the eyes of the slant sunlight, and fairly laughed with flowers.|2|11|The Island Of The Fay|June 1841|Fantasy
The grass was short, springy, sweet-scented, and Asphodel-interspersed.|3|11|The Island Of The Fay|June 1841|Fantasy
The trees were lithe, mirthful, erect–bright, slender, and graceful,- of eastern figure and foliage, with bark smooth, glossy, and parti-colored.|4|11|The Island Of The Fay|June 1841|Fantasy
There seemed a deep sense of life and joy about all; and although no airs blew from out the heavens, yet every thing had motion through the gentle sweepings to and fro of innumerable butterflies, that might have been mistaken for tulips with wings.|5|11|The Island Of The Fay|June 1841|Fantasy
* Florem putares nare per liquidum aethera.|0|12|The Island Of The Fay|June 1841|Fantasy
–P.|1|12|The Island Of The Fay|June 1841|Fantasy
Commire.|2|12|The Island Of The Fay|June 1841|Fantasy
The other or eastern end of the isle was whelmed in the blackest shade.|0|13|The Island Of The Fay|June 1841|Fantasy
A sombre, yet beautiful and peaceful gloom here pervaded all things.|1|13|The Island Of The Fay|June 1841|Fantasy
The trees were dark in color, and mournful in form and attitude, wreathing themselves into sad, solemn, and spectral shapes that conveyed ideas of mortal sorrow and untimely death.|2|13|The Island Of The Fay|June 1841|Fantasy
The grass wore the deep tint of the cypress, and the heads of its blades hung droopingly, and hither and thither among it were many small unsightly hillocks, low and narrow, and not very long, that had the aspect of graves, but were not; although over and all about them the rue and the rosemary clambered.|3|13|The Island Of The Fay|June 1841|Fantasy
The shade of the trees fell heavily upon the water, and seemed to bury itself therein, impregnating the depths of the element with darkness.|4|13|The Island Of The Fay|June 1841|Fantasy
I fancied that each shadow, as the sun descended lower and lower, separated itself sullenly from the trunk that gave it birth, and thus became absorbed by the stream; while other shadows issued momently from the trees, taking the place of their predecessors thus entombed.|5|13|The Island Of The Fay|June 1841|Fantasy
This idea, having once seized upon my fancy, greatly excited it, and I lost myself forthwith in revery.|0|14|The Island Of The Fay|June 1841|Fantasy
"""If ever island were enchanted,"" said I to myself, ""this is it."|1|14|The Island Of The Fay|June 1841|Fantasy
This is the haunt of the few gentle Fays who remain from the wreck of the race.|2|14|The Island Of The Fay|June 1841|Fantasy
Are these green tombs theirs?|3|14|The Island Of The Fay|June 1841|Fantasy
–or do they yield up their sweet lives as mankind yield up their own?|4|14|The Island Of The Fay|June 1841|Fantasy
In dying, do they not rather waste away mournfully, rendering unto God, little by little, their existence, as these trees render up shadow after shadow, exhausting their substance unto dissolution?|5|14|The Island Of The Fay|June 1841|Fantasy
"What the wasting tree is to the water that imbibes its shade, growing thus blacker by what it preys upon, may not the life of the Fay be to the death which engulfs it""?"|6|14|The Island Of The Fay|June 1841|Fantasy
As I thus mused, with half-shut eyes, while the sun sank rapidly to rest, and eddying currents careered round and round the island, bearing upon their bosom large, dazzling, white flakes of the bark of the sycamore-flakes which, in their multiform positions upon the water, a quick imagination might have converted into any thing it pleased, while I thus mused, it appeared to me that the form of one of those very Fays about whom I had been pondering made its way slowly into the darkness from out the light at the western end of the island.|0|15|The Island Of The Fay|June 1841|Fantasy
She stood erect in a singularly fragile canoe, and urged it with the mere phantom of an oar.|1|15|The Island Of The Fay|June 1841|Fantasy
While within the influence of the lingering sunbeams, her attitude seemed indicative of joy–but sorrow deformed it as she passed within the shade.|2|15|The Island Of The Fay|June 1841|Fantasy
Slowly she glided along, and at length rounded the islet and re-entered the region of light.|3|15|The Island Of The Fay|June 1841|Fantasy
"""The revolution which has just been made by the Fay,"" continued I, musingly, ""is the cycle of the brief year of her life."|4|15|The Island Of The Fay|June 1841|Fantasy
She has floated through her winter and through her summer.|5|15|The Island Of The Fay|June 1841|Fantasy
"She is a year nearer unto Death; for I did not fail to see that, as she came into the shade, her shadow fell from her, and was swallowed up in the dark water, making its blackness more black""."|6|15|The Island Of The Fay|June 1841|Fantasy
And again the boat appeared and the Fay, but about the attitude of the latter there was more of care and uncertainty and less of elastic joy.|0|16|The Island Of The Fay|June 1841|Fantasy
She floated again from out the light and into the gloom (which deepened momently) and again her shadow fell from her into the ebony water, and became absorbed into its blackness.|1|16|The Island Of The Fay|June 1841|Fantasy
And again and again she made the circuit of the island, (while the sun rushed down to his slumbers), and at each issuing into the light there was more sorrow about her person, while it grew feebler and far fainter and more indistinct, and at each passage into the gloom there fell from her a darker shade, which became whelmed in a shadow more black.|2|16|The Island Of The Fay|June 1841|Fantasy
But at length when the sun had utterly departed, the Fay, now the mere ghost of her former self, went disconsolately with her boat into the region of the ebony flood, and that she issued thence at all I cannot say, for darkness fell over an things and I beheld her magical figure no more.|3|16|The Island Of The Fay|June 1841|Fantasy
These things are in the future.|0|1|The Colloquy Of Monos And Una|August 1841|Science fiction
--SOPHOCLES; Antig.|1|1|The Colloquy Of Monos And Una|August 1841|Science fiction
UNA.|0|2|The Colloquy Of Monos And Una|August 1841|Science fiction
"""Born again""?"|1|2|The Colloquy Of Monos And Una|August 1841|Science fiction
MONOS.|0|3|The Colloquy Of Monos And Una|August 1841|Science fiction
"Yes, fairest and best beloved Una, ""born again""."|1|3|The Colloquy Of Monos And Una|August 1841|Science fiction
These were the words upon whose mystical meaning I had so long pondered, rejecting the explanations of the priesthood, until Death itself resolved for me the secret.|2|3|The Colloquy Of Monos And Una|August 1841|Science fiction
UNA.|0|4|The Colloquy Of Monos And Una|August 1841|Science fiction
Death!|1|4|The Colloquy Of Monos And Una|August 1841|Science fiction
MONOS.|0|5|The Colloquy Of Monos And Una|August 1841|Science fiction
How strangely, sweet Una, you echo my words!|1|5|The Colloquy Of Monos And Una|August 1841|Science fiction
I observe, too, a vacillation in your step, a joyous inquietude in your eyes.|2|5|The Colloquy Of Monos And Una|August 1841|Science fiction
You are confused and oppressed by the majestic novelty of the Life Eternal.|3|5|The Colloquy Of Monos And Una|August 1841|Science fiction
Yes, it was of Death I spoke.|4|5|The Colloquy Of Monos And Una|August 1841|Science fiction
And here how singularly sounds that word which of old was wont to bring terror to all hearts, throwing a mildew upon all pleasures!|5|5|The Colloquy Of Monos And Una|August 1841|Science fiction
UNA.|0|6|The Colloquy Of Monos And Una|August 1841|Science fiction
Ah, Death, the spectre which sate at all feasts!|1|6|The Colloquy Of Monos And Una|August 1841|Science fiction
How often, Monos, did we lose ourselves in speculations upon its nature!|2|6|The Colloquy Of Monos And Una|August 1841|Science fiction
"How mysteriously did it act as a check to human bliss, saying unto it ""thus far and no further""!"|3|6|The Colloquy Of Monos And Una|August 1841|Science fiction
That earnest mutual love, my own Monos, which burned within our bosoms; how vainly did we flatter ourselves, feeling happy in its first upspringing, that our happiness would strengthen with its strength!|4|6|The Colloquy Of Monos And Una|August 1841|Science fiction
Alas!|5|6|The Colloquy Of Monos And Una|August 1841|Science fiction
as it grew, so grew in our hearts the dread of that evil hour which was hurrying to separate us forever!|6|6|The Colloquy Of Monos And Una|August 1841|Science fiction
Thus, in time, it became painful to love.|7|6|The Colloquy Of Monos And Una|August 1841|Science fiction
Hate would have been mercy then.|8|6|The Colloquy Of Monos And Una|August 1841|Science fiction
MONOS.|0|7|The Colloquy Of Monos And Una|August 1841|Science fiction
Speak not here of these griefs, dear Una; mine, mine, forever now!|1|7|The Colloquy Of Monos And Una|August 1841|Science fiction
UNA.|0|8|The Colloquy Of Monos And Una|August 1841|Science fiction
But the memory of past sorrow; is it not present joy?|1|8|The Colloquy Of Monos And Una|August 1841|Science fiction
I have much to say yet of the things which have been.|2|8|The Colloquy Of Monos And Una|August 1841|Science fiction
Above all, I burn to know the incidents of your own passage through the dark Valley and Shadow.|3|8|The Colloquy Of Monos And Una|August 1841|Science fiction
MONOS.|0|9|The Colloquy Of Monos And Una|August 1841|Science fiction
And when did the radiant Una ask any thing of her Monos in vain?|1|9|The Colloquy Of Monos And Una|August 1841|Science fiction
I will be minute in relating all; but at what point shall the weird narrative begin?|2|9|The Colloquy Of Monos And Una|August 1841|Science fiction
UNA.|0|10|The Colloquy Of Monos And Una|August 1841|Science fiction
At what point?|1|10|The Colloquy Of Monos And Una|August 1841|Science fiction
MONOS.|0|11|The Colloquy Of Monos And Una|August 1841|Science fiction
You have said.|1|11|The Colloquy Of Monos And Una|August 1841|Science fiction
UNA.|0|12|The Colloquy Of Monos And Una|August 1841|Science fiction
Monos, I comprehend you.|1|12|The Colloquy Of Monos And Una|August 1841|Science fiction
In Death we have both learned the propensity of man to define the indefinable.|2|12|The Colloquy Of Monos And Una|August 1841|Science fiction
I will not say, then, commence with the moment of life's cessation; but commence with that sad, sad instant when, the fever having abandoned you, you sank into a breathless and motionless torpor, and I pressed down your pallid eyelids with the passionate fingers of love.|3|12|The Colloquy Of Monos And Una|August 1841|Science fiction
MONOS.|0|13|The Colloquy Of Monos And Una|August 1841|Science fiction
One word first, my Una, in regard to man's general condition at this epoch.|1|13|The Colloquy Of Monos And Una|August 1841|Science fiction
"You will remember that one or two of the wise among our forefathers; wise in fact, although not in the world's esteem; had ventured to doubt the propriety of the term ""improvement,"" as applied to the progress of our civilization."|2|13|The Colloquy Of Monos And Una|August 1841|Science fiction
There were periods in each of the five or six centuries immediately preceding our dissolution, when arose some vigorous intellect, boldly contending for those principles whose truth appears now, to our disenfranchised reason, so utterly obvious; principles which should have taught our race to submit to the guidance of the natural laws, rather than attempt their control.|3|13|The Colloquy Of Monos And Una|August 1841|Science fiction
At long intervals some master-minds appeared, looking upon each advance in practical science as a retro-gradation in the true utility.|4|13|The Colloquy Of Monos And Una|August 1841|Science fiction
Occasionally the poetic intellect; that intellect which we now feel to have been the most exalted of all; since those truths which to us were of the most enduring importance could only be reached by that analogy which speaks in proof-tones to the imagination alone, and to the unaided reason bears no weight- occasionally did this poetic intellect proceed a step farther in the evolving of the vague idea of the philosophic, and find in the mystic parable that tells of the tree of knowledge, and of its forbidden fruit, death-producing, a distinct intimation that knowledge was not meet for man in the infant condition of his soul.|5|13|The Colloquy Of Monos And Una|August 1841|Science fiction
"And these men, the poets, living and perishing amid the scorn of the ""utilitarians""; or rough pedants, who arrogated to themselves a title which could have been properly applied only to the scorned- these men, the poets, ponder piningly, yet not unwisely, upon the ancient days when our wants were not more simple than our enjoyments were keen; days when mirth was a word unknown, so solemnly deep-toned was happiness; holy, august and blissful days, when blue rivers ran undammed, between hills unhewn, into far forest solitudes, primeval, odorous, and unexplored."|6|13|The Colloquy Of Monos And Una|August 1841|Science fiction
Yet these noble exceptions from the general misrule served but to strengthen it by opposition.|0|14|The Colloquy Of Monos And Una|August 1841|Science fiction
Alas!|1|14|The Colloquy Of Monos And Una|August 1841|Science fiction
we had fAllan upon the most evil of all our evil days.|2|14|The Colloquy Of Monos And Una|August 1841|Science fiction
"The great ""movement""; that was the cant term- went on: a diseased commotion, moral and physical."|3|14|The Colloquy Of Monos And Una|August 1841|Science fiction
Art; the Arts- arose supreme, and, once enthroned, cast chains upon the intellect which had elevated them to power.|4|14|The Colloquy Of Monos And Una|August 1841|Science fiction
Man, because he could not but acknowledge the majesty of Nature, fell into childish exultation at his acquired and still increasing dominion over her elements.|5|14|The Colloquy Of Monos And Una|August 1841|Science fiction
Even while he stalked a God in his own fancy, an infantine imbecility came over him.|6|14|The Colloquy Of Monos And Una|August 1841|Science fiction
As might be supposed from the origin of his disorder, he grew infected with system, and with abstraction.|7|14|The Colloquy Of Monos And Una|August 1841|Science fiction
He enwrapped himself in generalities.|8|14|The Colloquy Of Monos And Una|August 1841|Science fiction
Among other odd ideas, that of universal equality gained ground; and in the face of analogy and of God; in despite of the loud warning voice of the laws of gradation so visibly pervading all things in Earth and Heaven; wild attempts at an omni-prevalent Democracy were made.|9|14|The Colloquy Of Monos And Una|August 1841|Science fiction
Yet this evil sprang necessarily from the leading evil; Knowledge.|10|14|The Colloquy Of Monos And Una|August 1841|Science fiction
Man could not both know and succumb.|11|14|The Colloquy Of Monos And Una|August 1841|Science fiction
Meantime huge smoking cities arose, innumerable.|12|14|The Colloquy Of Monos And Una|August 1841|Science fiction
Green leaves shrank before the hot breath of furnaces.|13|14|The Colloquy Of Monos And Una|August 1841|Science fiction
The fair face of Nature was deformed as with the ravages of some loathsome disease.|14|14|The Colloquy Of Monos And Una|August 1841|Science fiction
And methinks, sweet Una, even our slumbering sense of the forced and of the farfetched might have arrested us here.|15|14|The Colloquy Of Monos And Una|August 1841|Science fiction
But now it appears that we had worked out our own destruction in the perversion of our taste, or rather in the blind neglect of its culture in the schools.|16|14|The Colloquy Of Monos And Una|August 1841|Science fiction
For, in truth, it was at this crisis that taste alone; that faculty which, holding a middle position between the pure intellect and the moral sense, could never safely have been disregarded; it was now that taste alone could have led us gently back to Beauty, to Nature, and to Life.|17|14|The Colloquy Of Monos And Una|August 1841|Science fiction
But alas for the pure contemplative spirit and majestic intuition of Plato!|18|14|The Colloquy Of Monos And Una|August 1841|Science fiction
Alas for the mousika which he justly regarded as an all sufficient education for the soul!|19|14|The Colloquy Of Monos And Una|August 1841|Science fiction
Alas for him and for it!|20|14|The Colloquy Of Monos And Una|August 1841|Science fiction
; since both were most desperately needed when both were most entirely forgotten or despised.|21|14|The Colloquy Of Monos And Una|August 1841|Science fiction
"-It will be hard to discover a better [method of education] than that which the experience of so many ages has already discovered; and this may be summed up as consisting in gymnastics for the body and music for the soul""."|0|15|The Colloquy Of Monos And Una|August 1841|Science fiction
; Repub.|1|15|The Colloquy Of Monos And Una|August 1841|Science fiction
lib.|2|15|The Colloquy Of Monos And Una|August 1841|Science fiction
2.|3|15|The Colloquy Of Monos And Una|August 1841|Science fiction
"""For this reason is a musical education most essential; since it causes Rhythm and Harmony to penetrate most intimately into the soul, taking the strangest hold upon it, filling it with beauty and making the man beautiful-minded."|4|15|The Colloquy Of Monos And Una|August 1841|Science fiction
"He will praise and admire the beautiful; will receive it with joy into his soul, will feed upon it, and assimilate his own condition with it""."|7|15|The Colloquy Of Monos And Una|August 1841|Science fiction
Ibid.|8|15|The Colloquy Of Monos And Una|August 1841|Science fiction
lib.|9|15|The Colloquy Of Monos And Una|August 1841|Science fiction
3.|10|15|The Colloquy Of Monos And Una|August 1841|Science fiction
Music mousika had, among the Athenians, a far more comprehensive signification than with us.|11|15|The Colloquy Of Monos And Una|August 1841|Science fiction
It included not only the harmonies of time and of tune, but the poetic diction, sentiment and creation each in its widest sense.|12|15|The Colloquy Of Monos And Una|August 1841|Science fiction
The study of music was with them in fact, the general cultivation of the taste; of that which recognizes the beautiful; in contra-distinction from reason, which deals only with the true.|13|15|The Colloquy Of Monos And Una|August 1841|Science fiction
Pascal, a philosopher whom we both love, has said, how truly!|0|16|The Colloquy Of Monos And Una|August 1841|Science fiction
"- ""que tout notre raisonnement se reduit a ceder au sentiment,"" and it is not impossible that the sentiment of the natural, had time permitted it, would have regained its old ascendancy over the harsh mathematical reason of the schools."|1|16|The Colloquy Of Monos And Una|August 1841|Science fiction
But this thing was not to be.|2|16|The Colloquy Of Monos And Una|August 1841|Science fiction
Prematurely induced by intemperance of knowledge, the old age of the world drew on.|3|16|The Colloquy Of Monos And Una|August 1841|Science fiction
This the mass of mankind saw not, or, living lustily although unhappily, affected not to see.|4|16|The Colloquy Of Monos And Una|August 1841|Science fiction
But, for myself, the Earth's records had taught me to look for widest ruin as the price of highest civilization.|5|16|The Colloquy Of Monos And Una|August 1841|Science fiction
I had imbibed a prescience of our Fate from comparison of China the simple and enduring, with Assyria the architect, with Egypt the astrologer, with Nubia, more crafty than either, the turbulent mother of all Arts.|6|16|The Colloquy Of Monos And Una|August 1841|Science fiction
In history of these regions I met with a ray from the Future.|7|16|The Colloquy Of Monos And Una|August 1841|Science fiction
The individual artificialities of the three latter were local diseases of the Earth, and in their individual overthrows we had seen local remedies applied; but for the infected world at large I could anticipate no regeneration save in death.|8|16|The Colloquy Of Monos And Una|August 1841|Science fiction
"That man, as a race, should not become extinct, I saw that he must be ""born again""."|9|16|The Colloquy Of Monos And Una|August 1841|Science fiction
"-""History,"" from istorein, to contemplate."|0|17|The Colloquy Of Monos And Una|August 1841|Science fiction
And now it was, fairest and dearest, that we wrapped our spirits, daily, in dreams, Now it was that, in twilight, we discoursed of the days to come, when the Art-scarred surface of the Earth, having undergone that purification which alone could efface its rectangular obscenities, should clothe itself anew in the verdure and the mountain-slopes and the smiling waters of Paradise, and be rendered at length a fit dwelling-place for man:; for man the Death-purged; for man to whose now exalted intellect there should be poison in knowledge no more; for the redeemed, regenerated, blissful, and now immortal, but still for the material, man.|0|18|The Colloquy Of Monos And Una|August 1841|Science fiction
"-The word ""purification"" seems here to be used with reference to its root in the Greek, pur, fire."|0|19|The Colloquy Of Monos And Una|August 1841|Science fiction
UNA.|0|20|The Colloquy Of Monos And Una|August 1841|Science fiction
Well do I remember these conversations, dear Monos; but the epoch of the fiery overthrow was not so near at hand as we believed, and as the corruption you indicate did surely warrant us in believing.|1|20|The Colloquy Of Monos And Una|August 1841|Science fiction
Men lived; and died individually.|2|20|The Colloquy Of Monos And Una|August 1841|Science fiction
You yourself sickened, and passed into the grave; and thither your constant Una speedily followed you.|3|20|The Colloquy Of Monos And Una|August 1841|Science fiction
And though the century which has since elapsed, and whose conclusion brings us thus together once more, tortured our slumbering senses with no impatience of duration, yet, my Monos, it was a century still.|4|20|The Colloquy Of Monos And Una|August 1841|Science fiction
MONOS.|0|21|The Colloquy Of Monos And Una|August 1841|Science fiction
Say, rather, a point in the vague infinity.|1|21|The Colloquy Of Monos And Una|August 1841|Science fiction
Unquestionably, it was in the Earth's dotage that I died.|2|21|The Colloquy Of Monos And Una|August 1841|Science fiction
Wearied at heart with anxieties which had their origin in the general turmoil and decay, I succumbed to the fierce fever.|3|21|The Colloquy Of Monos And Una|August 1841|Science fiction
After some few days of pain, and many of dreamy delirium replete with ecstasy, the manifestations of which you mistook for pain, while I longed but was impotent to undeceive you; after some days there came upon me, as you have said, a breathless and motionless torpor; and this was termed Death by those who stood around me.|4|21|The Colloquy Of Monos And Una|August 1841|Science fiction
Words are vague things.|0|22|The Colloquy Of Monos And Una|August 1841|Science fiction
My condition did not deprive me of sentience.|1|22|The Colloquy Of Monos And Una|August 1841|Science fiction
It appeared to me not greatly dissimilar to the extreme quiescence of him, who, having slumbered long and profoundly, lying motionless and fully prostrate in a midsummer noon, begins to steal slowly back into consciousness, through the mere sufficiency of his sleep, and without being awakened by external disturbances.|2|22|The Colloquy Of Monos And Una|August 1841|Science fiction
I breathed no longer.|0|23|The Colloquy Of Monos And Una|August 1841|Science fiction
The pulses were still.|1|23|The Colloquy Of Monos And Una|August 1841|Science fiction
The heart had ceased to beat.|2|23|The Colloquy Of Monos And Una|August 1841|Science fiction
Volition had not departed, but was powerless.|3|23|The Colloquy Of Monos And Una|August 1841|Science fiction
The senses were unusually active, although eccentrically so; assuming often each other's functions at random.|4|23|The Colloquy Of Monos And Una|August 1841|Science fiction
The taste and the smell were inextricably confounded, and became one sentiment, abnormal and intense.|5|23|The Colloquy Of Monos And Una|August 1841|Science fiction
The rosewater with which your tenderness had moistened my lips to the last, affected me with sweet fancies of flowers; fantastic flowers, far more lovely than any of the old Earth, but whose prototypes we have here blooming around us.|6|23|The Colloquy Of Monos And Una|August 1841|Science fiction
The eyelids, transparent and bloodless, offered no complete impediment to vision.|7|23|The Colloquy Of Monos And Una|August 1841|Science fiction
As volition was in abeyance the balls could not roll in their sockets; but all objects within the range of the visual hemisphere were seen with more or less distinctness; the rays which fell upon the external retina, or into the corner of the eye, producing a more vivid effect than those which struck the front or anterior surface.|8|23|The Colloquy Of Monos And Una|August 1841|Science fiction
Yet, in the former instance, this effect was so far anomalous that I appreciated it only as sound; sound sweet or discordant as the matters presenting themselves at my side were light or dark in shade; curved or angular in outline.|9|23|The Colloquy Of Monos And Una|August 1841|Science fiction
The hearing at the same time, although excited in degree, was not irregular in action; estimating real sounds with an extravagance of precision, not less than of sensibility.|10|23|The Colloquy Of Monos And Una|August 1841|Science fiction
Touch had undergone a modification more peculiar.|11|23|The Colloquy Of Monos And Una|August 1841|Science fiction
Its impressions were tardily received, but pertinaciously retained, and resulted always in the highest physical pleasure.|12|23|The Colloquy Of Monos And Una|August 1841|Science fiction
Thus the pressure of your sweet fingers upon my eyelids, at first only recognized through vision, at length, long after their removal, filled my whole being with a sensual delight immeasurable.|13|23|The Colloquy Of Monos And Una|August 1841|Science fiction
I say with a sensual delight.|14|23|The Colloquy Of Monos And Una|August 1841|Science fiction
All my perceptions were purely sensual.|15|23|The Colloquy Of Monos And Una|August 1841|Science fiction
The materials furnished the passive brain by the senses were not in the least degree wrought into shape by the deceased understanding.|16|23|The Colloquy Of Monos And Una|August 1841|Science fiction
Of pain there was some little; of pleasure there was much; but of moral pain or pleasure none at all.|17|23|The Colloquy Of Monos And Una|August 1841|Science fiction
Thus your wild sobs floated into my ears with all their mournful cadences, and were appreciated in their every variation of sad tone; but they were soft musical sounds and no more; they conveyed to the extinct reason no intimation of the sorrows which gave them birth; while the large and constant tears which fell upon my face, telling the bystanders of a heart which broke, thrilled every fibre of my frame with ecstasy alone.|18|23|The Colloquy Of Monos And Una|August 1841|Science fiction
And this was in truth the Death of which these bystanders spoke reverently, in low whispers; you, sweet Una, gaspingly, with loud cries.|19|23|The Colloquy Of Monos And Una|August 1841|Science fiction
They attired me for the coffin; three or four dark figures which flitted busily to and fro.|0|24|The Colloquy Of Monos And Una|August 1841|Science fiction
As these crossed the direct line of my vision they affected me as forms; but upon passing to my side their images impressed me with the idea of shrieks, groans, and other dismal expressions of terror, of horror, or of wo.|1|24|The Colloquy Of Monos And Una|August 1841|Science fiction
You alone, habited in a white robe, passed in all directions musically about me.|2|24|The Colloquy Of Monos And Una|August 1841|Science fiction
The day waned; and, as its light faded away, I became possessed by a vague uneasiness; an anxiety such as the sleeper feels when sad real sounds fall continuously within his ear; low distant bell tones, solemn, at long but equal intervals, and commingling with melancholy dreams.|0|25|The Colloquy Of Monos And Una|August 1841|Science fiction
Night arrived; and with its shadows a heavy discomfort.|1|25|The Colloquy Of Monos And Una|August 1841|Science fiction
It oppressed my limbs with the oppression of some dull weight, and was palpable.|2|25|The Colloquy Of Monos And Una|August 1841|Science fiction
There was also a moaning sound, not unlike the distant reverberation of surf, but more continuous, which beginning with the first twilight, had grown in strength with the darkness.|3|25|The Colloquy Of Monos And Una|August 1841|Science fiction
Suddenly lights were brought into the room, and this reverberation became forthwith interrupted into frequent unequal bursts of the same sound, but less dreary and less distinct.|4|25|The Colloquy Of Monos And Una|August 1841|Science fiction
The ponderous oppression was in a great measure relieved; and, issuing from the flame of each lamp, (for there were many,) there flowed unbrokenly into my ears a strain of melodious monotone.|5|25|The Colloquy Of Monos And Una|August 1841|Science fiction
And when now, dear Una, approaching the bed upon which I lay outstretched, you sat gently by my side, breathing odor from your sweet lips, and pressing them upon my brow, there arose tremulously within my bosom, and mingling with the merely physical sensations which circumstances had called forth, a something akin to sentiment itself; a feeling that, half appreciating, half responded to your earnest love and sorrow,; but this feeling took no root in the pulseless heart, and seemed indeed rather a shadow than a reality, and faded quickly away, first into extreme quiescence, and then into a purely sensual pleasure as before.|6|25|The Colloquy Of Monos And Una|August 1841|Science fiction
And now, from the wreck and the chaos of the usual senses, there appeared to have arisen within me a sixth, all perfect.|0|26|The Colloquy Of Monos And Una|August 1841|Science fiction
In its exercise I found a wild delight yet a delight still physical, inasmuch as the understanding had in it no part.|1|26|The Colloquy Of Monos And Una|August 1841|Science fiction
Motion in the animal frame had fully ceased.|2|26|The Colloquy Of Monos And Una|August 1841|Science fiction
No muscle quivered; no nerve thrilled; no artery throbbed.|3|26|The Colloquy Of Monos And Una|August 1841|Science fiction
But there seemed to have sprung up in the brain, that of which no words could convey to the merely human intelligence even an indistinct conception.|4|26|The Colloquy Of Monos And Una|August 1841|Science fiction
Let me term it a mental pendulous pulsation.|5|26|The Colloquy Of Monos And Una|August 1841|Science fiction
It was the moral embodiment of man's abstract idea of Time.|6|26|The Colloquy Of Monos And Una|August 1841|Science fiction
By the absolute equalization of this movement; or of such as this; had the cycles of the firmamental orbs themselves, been adjusted.|7|26|The Colloquy Of Monos And Una|August 1841|Science fiction
By its aid I measured the irregularities of the clock upon the mantel, and of the watches of the attendants.|8|26|The Colloquy Of Monos And Una|August 1841|Science fiction
Their tickings came sonorously to my ears.|9|26|The Colloquy Of Monos And Una|August 1841|Science fiction
The slightest deviation from the true proportion; and these deviations were omni-prevalent; affected me just as violations of abstract truth were wont, on earth, to affect the moral sense.|10|26|The Colloquy Of Monos And Una|August 1841|Science fiction
Although no two of the time-pieces in the chamber struck individual seconds accurately together, yet I had no difficulty in holding steadily in mind the tones, and the respective momentary errors of each.|11|26|The Colloquy Of Monos And Una|August 1841|Science fiction
And this; this keen, perfect, self-existing sentiment of duration; this sentiment existing (as man could not possibly have conceived it to exist) independently of any succession of events; this idea; this sixth sense, upspringing from the ashes of the rest, was the first obvious and certain step of the intemporal soul upon the threshold of the temporal Eternity.|12|26|The Colloquy Of Monos And Una|August 1841|Science fiction
It was midnight; and you still sat by my side.|0|27|The Colloquy Of Monos And Una|August 1841|Science fiction
All others had departed from the chamber of Death.|1|27|The Colloquy Of Monos And Una|August 1841|Science fiction
They had deposited me in the coffin.|2|27|The Colloquy Of Monos And Una|August 1841|Science fiction
The lamps burned flickeringly; for this I knew by the tremulousness of the monotonous strains.|3|27|The Colloquy Of Monos And Una|August 1841|Science fiction
But, suddenly these strains diminished in distinctness and in volume.|4|27|The Colloquy Of Monos And Una|August 1841|Science fiction
Finally they ceased.|5|27|The Colloquy Of Monos And Una|August 1841|Science fiction
The perfume in my nostrils died away.|6|27|The Colloquy Of Monos And Una|August 1841|Science fiction
Forms affected my vision no longer.|7|27|The Colloquy Of Monos And Una|August 1841|Science fiction
The oppression of the Darkness uplifted itself from my bosom.|8|27|The Colloquy Of Monos And Una|August 1841|Science fiction
A dull shock like that of electricity pervaded my frame, and was followed by total loss of the idea of contact.|9|27|The Colloquy Of Monos And Una|August 1841|Science fiction
All of what man has termed sense was merged in the sole consciousness of entity, and in the one abiding sentiment of duration.|10|27|The Colloquy Of Monos And Una|August 1841|Science fiction
The mortal body had been at length stricken with the hand of the deadly Decay.|11|27|The Colloquy Of Monos And Una|August 1841|Science fiction
Yet had not all of sentience departed; for the consciousness and the sentiment remaining supplied some of its functions by a lethargic intuition.|0|28|The Colloquy Of Monos And Una|August 1841|Science fiction
I appreciated the direful change now in operation upon the flesh, and, as the dreamer is sometimes aware of the bodily presence of one who leans over him, so, sweet Una, I still dully felt that you sat by my side.|1|28|The Colloquy Of Monos And Una|August 1841|Science fiction
So, too, when the noon of the second day came, I was not unconscious of those movements which displaced you from my side, which confined me within the coffin, which deposited me within the hearse, which bore me to the grave, which lowered me within it, which heaped heavily the mould upon me, and which thus left me, in blackness and corruption, to my sad and solemn slumbers with the worm.|2|28|The Colloquy Of Monos And Una|August 1841|Science fiction
And here, in the prison-house which has few secrets to disclose, they rolled away days and weeks and months; and the soul watched narrowly each second as it flew, and, without effort, took record of its flight; without effort and without object.|0|29|The Colloquy Of Monos And Una|August 1841|Science fiction
A year passed.|0|30|The Colloquy Of Monos And Una|August 1841|Science fiction
The consciousness of being had grown hourly more indistinct, and that of mere locality had, in great measure, usurped its position.|1|30|The Colloquy Of Monos And Una|August 1841|Science fiction
The idea of entity was becoming merged in that of place.|2|30|The Colloquy Of Monos And Una|August 1841|Science fiction
